parent0_code,parent0_name,parent1_code,parent1_name,parent2_code,parent2_name,year,gender,age_group,diagnosis_count,patient_count,prevalence,denominator,gender_EN,parent0_name_EN,short_name,parent2_name_EN
F00-F99,Psüühika- ja käitumishäired,F30-F39,Meeleoluhäired,F33,Korduv depressiivne häire e korduv depressioon,2022,N,20-29,4063,377,0.0293020363749417,12866,F,Mental and behavioural disorders,Mental health disorders,"Major depressive disorder, recurrent"
F00-F99,Psüühika- ja käitumishäired,F70-F79,Vaimne alaareng,F70,Kerge vaimne alaareng,2022,N,20-29,117,18,0.00139903621949323,12866,F,Mental and behavioural disorders,Mental health disorders,Mild intellectual disabilities
F00-F99,Psüühika- ja käitumishäired,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F06,"Muud psüühikahäired ajukahjustusest, -düsfunktsioonist või somaatilisest haigusest",2022,N,20-29,97,12,9.326908129955e-4,12866,F,Mental and behavioural disorders,Mental health disorders,Other mental disorders due to known physiological condition
F00-F99,Psüühika- ja käitumishäired,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,F51,Mitteorgaanilised unehäired,2022,N,20-29,350,88,0.0068397326286336,12866,F,Mental and behavioural disorders,Mental health disorders,Sleep disorders not due to a substance or known physiological condition
F00-F99,Psüühika- ja käitumishäired,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F07,"Isiksus- ja käitumishäired ajuhaigusest, -kahjustusest või -düsfunktsioonist",2022,N,20-29,20,6,4.663454064977e-4,12866,F,Mental and behavioural disorders,Mental health disorders,Personality and behavioral disorders due to known physiological condition
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F40,Foobsed ärevushäired e. foobiad,2022,N,20-29,869,121,0.00940463236437121,12866,F,Mental and behavioural disorders,Mental health disorders,Phobic anxiety disorders
F00-F99,Psüühika- ja käitumishäired,F30-F39,Meeleoluhäired,F32,Depressiivne episood e. depressioon,2022,N,20-29,9675,1060,0.08238768848126846,12866,F,Mental and behavioural disorders,Mental health disorders,"Major depressive disorder, single episode"
I00-I99,Vereringeelundite haigused,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,I69,Peaajuveresoonte haiguse jääknähud,2022,N,20-29,7,7,5.44069640914e-4,12866,F,Diseases of the circulatory system,Circulatory system,Sequelae of cerebrovascular disease
F00-F99,Psüühika- ja käitumishäired,F10-F19,Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired,F10,Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired,2022,N,20-29,51,16,0.00124358775066065,12866,F,Mental and behavioural disorders,Mental health disorders,Alcohol related disorders
F00-F99,Psüühika- ja käitumishäired,F30-F39,Meeleoluhäired,F33,Korduv depressiivne häire e korduv depressioon,2022,M,30-39,2663,245,0.01434594214779248,17078,M,Mental and behavioural disorders,Mental health disorders,"Major depressive disorder, recurrent"
F00-F99,Psüühika- ja käitumishäired,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F06,"Muud psüühikahäired ajukahjustusest, -düsfunktsioonist või somaatilisest haigusest",2022,M,30-39,213,31,0.00181520084319006,17078,M,Mental and behavioural disorders,Mental health disorders,Other mental disorders due to known physiological condition
F00-F99,Psüühika- ja käitumishäired,F70-F79,Vaimne alaareng,F70,Kerge vaimne alaareng,2022,M,30-39,209,33,0.00193231057500878,17078,M,Mental and behavioural disorders,Mental health disorders,Mild intellectual disabilities
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F40,Foobsed ärevushäired e. foobiad,2022,M,30-39,378,61,0.00357184682047078,17078,M,Mental and behavioural disorders,Mental health disorders,Phobic anxiety disorders
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F48,Muud neurootilised häired,2022,M,30-39,131,16,9.368778545497e-4,17078,M,Mental and behavioural disorders,Mental health disorders,Other nonpsychotic mental disorders
